descriptions,height,images,links,texts,titles,types,url,width
"easy,options,return,shirt,cs,in,now,with,the,so,at,trends,print,free,get,wave,back,latest,ts,has,been,and,apply,never,shopping,oversized,boohooman,online,delivery,buy,white",1006,17,474,75,"oversized,back,boohooman,white,shirt,in,print,wave",product,https://www.asos.com/boohooman/boohooman-wave-back-print-oversized-t-shirt-in-white/prd/12914504?clr=white&colourWayId=16437967&SearchQuery=&cid=27110,1903
"forks,accessories,including,your,nearest,or,at,garden,free,trowels,store,order,collect,from,more,online,delivery,for,buy,practical,home",3156.87,43,899,237,"watering,tools,cans,boot,metal,garden,trowel,jack",,https://www.marksandspencer.com/l/home-and-furniture/garden-accessories/garden-tools-n-cddya?intid=HF_Garden_LP_lego_10_txt,1903
"orders,handbags,john,partners,over,lewis,shop,from,purses,women,bags,for,at,delivery,range,on,our,free",2191.5,20,747,931,"handbags,john,partners,lewis,purses,bags,happy,news",,https://www.johnlewis.com/browse/women/handbags-bags-purses/happy-news/_/N-fjgZ1yzucw2,1903
"orders,handbags,john,partners,over,lewis,shop,from,purses,women,bags,for,at,delivery,range,on,our,free",4658.5,75,875,1156,"neuville,handbags,john,partners,lewis,purses,bags",,https://www.johnlewis.com/browse/women/handbags-bags-purses/neuville/_/N-fjgZ1yzpbzd,1903
"orders,handbags,john,partners,over,lewis,shop,from,purses,women,bags,for,at,delivery,range,on,our,free",2603.5,23,758,959,"handbags,john,partners,lewis,purses,bags",,https://www.johnlewis.com/browse/women/handbags-bags-purses/sara-miller/_/N-fjgZ1z0eafb,1903
"orders,handbags,john,partners,over,lewis,shop,from,purses,women,bags,for,at,delivery,range,on,our,free",5627,74,813,1022,"shopper,handbags,john,partners,lewis,purses,bags",,https://www.johnlewis.com/browse/women/handbags-bags-purses/shopper/_/N-fjgZ1z0rom1,1903
"orders,handbags,john,partners,over,lewis,shop,from,purses,women,bags,for,at,delivery,range,on,our,free",2665.5,27,715,876,"handbags,john,partners,lewis,weekend,purses,bags",,https://www.johnlewis.com/browse/women/handbags-bags-purses/weekend/_/N-fjgZ1z0roly,1903
"orders,handbags,john,partners,over,lewis,shop,from,purses,women,bags,for,at,delivery,range,on,our,free",3206,67,780,992,"handbags,john,partners,lewis,purses,bags,metallics",,https://www.johnlewis.com/browse/women/handbags-bags-purses/metallics/_/N-fjgZ1z141b3,1903
"orders,handbags,john,partners,over,lewis,shop,from,purses,women,bags,for,at,delivery,range,on,our,free",11508.5,95,899,1181,"synthetic,handbags,john,partners,lewis,purses,bags",,https://www.johnlewis.com/browse/women/handbags-bags-purses/synthetic/_/N-fjgZ1z0roor,1903
"john,shop,purses,our,with,orders,handbags,on,free,of,over,from,bags,and,designer,brands,lewis,delivery,selection",11729.5,86,929,1256,"handbags,john,partners,lewis,purses,bags",,https://www.johnlewis.com/browse/women/handbags-bags-purses/_/N-fjg?page=25&showInStockOnly=true,1903
"belt,john,sadi,purses,bag,our,kin,orders,handbags,partners,at,on,free,over,from,bags,range,lewis,delivery,buy,white",4568.18,50,729,855,"belt,john,partners,sadi,lewis,at,bag,kin,white",product,https://www.johnlewis.com/kin-sadi-belt-bag/p4017058,1903
"john,purses,bag,our,leather,clutch,orders,handbags,partners,at,on,free,mistry,over,from,bags,range,black,lewis,delivery,buy",4761.38,45,756,846,"clutch,mistry,black,partners,john,lewis,at,bag,leather",product,https://www.johnlewis.com/john-lewis-partners-mistry-leather-clutch-bag/p3903080,1903
"today,department,accessories,shop,wide,our,packham,jenny,the,at,of,from,range,and,more,womens,find,online,products,no",7518.22,15,706,325,"accessories,women,no,packham,jenny",,https://www.debenhams.com/women/accessories/no-1-jenny-packham,1903
"today,department,accessories,shop,wide,wedding,our,the,at,of,from,range,and,more,womens,find,online,guest,products",11176.7,15,760,467,"guest,wedding,accessories,women",,https://www.debenhams.com/women/accessories/wedding-guest,1903
"of,find,today,department,online,accessories,tan,shop,from,at,wide,more,range,our,and,products,the,womens",11297.2,15,765,474,"accessories,tan,women",,https://www.debenhams.com/women/accessories/tan,1903
"gold,to,exclusive,bag,silver,your,macdonald,our,in,julien,essentials,leather,appeal,shopper,this,it,stylish,zip,daily,spacious,store,finished,way,is,details,from,faux,has,range,modern,and,by,features,interior,for,toned,star,grained",3259.3,9,608,109,"shopper,leather,by,large,faux,bag,star,grained,macdonald,julien,black",,https://www.debenhams.com/webapp/wcs/stores/servlet/prod_10701_10001_089010310360_-1,1903
"strap,bag,your,with,essentials,mantaray,this,it,perfect,printed,an,fitted,styling,florals,is,from,shoulder,multiple,and,summer,for,pockets,adjustable",3296.33,9,609,113,"mantaray,body,cross,bag,st,floral,washed,white,ives",,https://www.debenhams.com/webapp/wcs/stores/servlet/prod_10701_10001_089010525080_-1,1903
"punctuated,bag,your,debut,in,with,clutch,fastening,this,it,material,satin,glittering,brooch,complete,like,from,ensembles,and,magnetic,ruched,by,crafted,formal,secured",3254.33,9,608,107,"clutch,bag,debut,navy,brooch,ruched",,https://www.debenhams.com/webapp/wcs/stores/servlet/prod_10701_10001_087010412043_-1,1903
"grosgrain,detailing,crisscross,resting,to,exclusive,our,with,the,this,finishing,loops,it,distinctive,jasper,perfect,touch,conran,on,decorated,fascinator,comfortable,occasion,adding,is,headband,feather,from,range,and,design,by,for,looks",3183.3,13,609,112,"by,jasper,feather,saucer,multicoloured,conran,fascinator",,https://www.debenhams.com/webapp/wcs/stores/servlet/prod_10701_10001_087010441594_-1,1903
"finish,accessories,to,your,update,debut,with,add,this,it,scrunchie,shine,from,high,style,look,designed,instant,hair,ll",4146.2,17,657,170,"shine,high,debut,scrunchie,pink",,https://www.debenhams.com/webapp/wcs/stores/servlet/prod_10701_10001_087010404905_-1,1903
"of,find,today,department,online,shorts,sale,from,at,shop,yellow,wide,more,range,our,and,products,the",2569.02,14,640,172,"yellow,shorts,sale",,https://www.debenhams.com/sale/men/shorts/yellow,1903
"casual,tall,big,red,shorts,are,herring,your,in,with,sizes,they,re,also,fitted,great,tab,wardrobe,rear,available,logo,from,option,multiple,and,these,cotton,rich,for,pockets",3832.03,19,631,190,"cotton,red,wine,shorts,herring",,https://www.debenhams.com/webapp/wcs/stores/servlet/prod_10701_10001_099010491601_-1,1903
"options,shop,weekday,including,cs,in,now,with,next,dream,at,unlimited,denim,jacket,free,ord,ts,order,payment,multiple,and,day,apply,blue,co,delivery",1006,17,475,78,"dream,ord,weekday,denim,jacket,in,blue,co",product,https://www.asos.com/weekday/weekday-denim-jacket-co-ord-in-dream-blue/prd/12966837?clr=dream-blue&colourWayId=16431640&SearchQuery=&cid=19511,1903
